factor,hold_day,mean_ic,std_ic,pos_pct,days,icir
golden_cross,5,-0.007083656641299975,0.040522729797081804,44.957983193277315,238,-0.17480699540163003
golden_cross,10,-0.00690583004181428,0.03832482370302669,42.91845493562232,233,-0.1801920889532727
golden_cross,20,-0.0035768080993256977,0.035800457902932785,47.53363228699551,223,-0.09990956286156007
intra_pos,1,-0.01974969671565139,0.11174718221710186,46.69421487603306,242,-0.17673552320345562
intra_pos,3,-0.015596083923202664,0.11026773298976075,42.916666666666664,240,-0.1414383292404396
intra_pos,5,-0.01629284652667742,0.10326324970576901,45.378151260504204,238,-0.15777971904913995
intra_pos,10,-0.010835431569966086,0.10311295666090688,45.92274678111588,233,-0.10508312360394291
intra_pos,20,-0.008010401504353691,0.09319585648702812,49.327354260089685,223,-0.08595233528937689
kbar_len,1,-0.05983114756361185,0.13743582816667027,33.47107438016529,242,-0.4353387931060729
kbar_len,3,-0.06089044049301299,0.12201267547614271,30.416666666666664,240,-0.49905012127136716
kbar_len,5,-0.060263852750240154,0.11565467319449398,26.05042016806723,238,-0.5210671656033797
kbar_len,10,-0.059844399207903555,0.10378012665948,30.042918454935624,233,-0.5766460413395241
kbar_len,20,-0.05905583543055984,0.09271960766381952,23.318385650224215,223,-0.636929306740415
kbar_mid,1,-0.01974969671565139,0.11174718221710186,46.69421487603306,242,-0.17673552320345562
kbar_mid,3,-0.015596083923202664,0.11026773298976075,42.916666666666664,240,-0.1414383292404396
kbar_mid,5,-0.01629284652667742,0.10326324970576901,45.378151260504204,238,-0.15777971904913995
kbar_mid,10,-0.010835431569966086,0.10311295666090688,45.92274678111588,233,-0.10508312360394291
kbar_mid,20,-0.008010401504353691,0.09319585648702812,49.327354260089685,223,-0.08595233528937689
lower_shadow,1,-0.006154278652793992,0.08203453384522892,44.62809917355372,242,-0.0750205841896415
lower_shadow,3,-0.0017230224877447177,0.07503407042112804,50.416666666666664,240,-0.02296320162393256
lower_shadow,5,0.0017001775692043867,0.07252175721968614,49.159663865546214,238,0.02344368965101236
lower_shadow,10,0.008281692954347351,0.0707236579544061,57.08154506437768,233,0.11709932989730772
lower_shadow,20,0.014508704765060042,0.0671628034429513,60.53811659192825,223,0.2160229177655437
ma5_ma20,1,-0.0372576937299415,0.11901674238483836,35.12396694214876,242,-0.3130458201373842
ma5_ma20,3,-0.04710269359331566,0.10559428509672282,31.666666666666664,240,-0.44607237550943485
ma5_ma20,5,-0.05101396239029867,0.10144806069696383,29.411764705882355,238,-0.5028579357734873
ma5_ma20,10,-0.05072523934528652,0.09392311785708415,28.32618025751073,233,-0.5400719280046831
ma5_ma20,20,-0.03752375722442592,0.09086676033568927,35.874439461883405,223,-0.4129536156654185
price_concentration,1,0.04038968596422082,0.14886421309440723,60.33057851239669,242,0.2713189767013134
price_concentration,3,0.04717010373305759,0.12918200762094165,65.41666666666667,240,0.3651445321353781
price_concentration,5,0.04868813440075992,0.12336996282655854,65.54621848739495,238,0.3946514474451844
price_concentration,10,0.0524941925791979,0.1201729021786706,66.52360515021459,233,0.4368222088965665
price_concentration,20,0.0596285016326,0.1092166961044337,65.91928251121077,223,0.5459650745668304
price_pos_60d,1,-0.028390962662039516,0.11179072659386567,39.66942148760331,242,-0.2539652753594091
price_pos_60d,3,-0.02987999497577428,0.09979567400817561,39.166666666666664,240,-0.2994117257359914
price_pos_60d,5,-0.03388235500349356,0.09668505653185071,35.294117647058826,238,-0.3504404529394032
price_pos_60d,10,-0.03656327114666797,0.0929532998544159,36.05150214592275,233,-0.39335097520941825
price_pos_60d,20,-0.03722165508300185,0.0790184569753946,32.28699551569507,223,-0.47105013825557523
rel_ma60,1,-0.04515244243257238,0.12608517239624487,36.77685950413223,242,-0.35811064516510216
rel_ma60,3,-0.0509322093171189,0.11281966054998194,33.75,240,-0.4514479929192364
rel_ma60,5,-0.05633312366410462,0.1078365636967646,33.193277310924366,238,-0.5223935345576555
rel_ma60,10,-0.062109985634696635,0.09971370160962986,29.184549356223176,233,-0.6228831608102527
rel_ma60,20,-0.06775745344071597,0.07980403617739902,20.179372197309416,223,-0.849047951535881
risk_reward,1,0.1703343424867894,0.11013982577264386,95.45454545454545,242,1.5465281635582215
risk_reward,3,0.2616176940142,0.10416421183801966,98.75,240,2.511589051535551
risk_reward,5,0.25587511238392674,0.10011247871379177,100.0,238,2.555876307042997
risk_reward,10,0.16782060308300312,0.09605070569981934,97.42489270386267,233,1.7472084339232374
risk_reward,20,0.11433849926305899,0.0924884134982146,88.34080717488789,223,1.2362467355466766
rs_vola_std,1,-0.03396012621814858,0.10904813385144534,37.60330578512397,242,-0.3114232680442928
rs_vola_std,3,-0.03680704764757208,0.10445947973232139,33.33333333333333,240,-0.35235717947179673
